segment,start_s,duration_s,trial,ekf_count,odom_count,gnss_count,ekf_vs_odom_mean,ekf_vs_odom_p95,ekf_vs_odom_max,ekf_vs_gnss_mean,ekf_vs_gnss_p95,ekf_vs_gnss_max,ekf_step_p95,ekf_step_max,reset_count,gnss_reject_count
seg1_before_jump1,2.3,39.0,no_gnss,1926,1174,312,0.0323,0.0744,0.0893,12.6760,29.3167,30.8886,0.0216,0.0307,0,0
seg1_before_jump1,2.3,39.0,weak_gnss,1926,1174,312,0.0326,0.0746,0.0909,12.6759,29.3153,30.8888,0.0216,0.0308,0,15
seg2_between_jump1_jump2,42.2,34.5,no_gnss,1701,1039,276,0.0378,0.0868,0.1632,8.6894,16.8085,18.9445,0.0230,0.0461,0,0
seg2_between_jump1_jump2,42.2,34.5,weak_gnss,1696,1039,276,0.0379,0.0876,0.1631,8.6362,17.0268,19.1653,0.0231,0.0461,0,3
seg3_between_jump2_jump3,77.6,15.0,no_gnss,722,452,120,0.0465,0.1264,0.1580,3.5834,7.5263,8.2864,0.0306,0.0602,0,0
seg3_between_jump2_jump3,77.6,15.0,weak_gnss,720,452,120,0.0467,0.1260,0.1563,3.5033,7.3611,8.1228,0.0306,0.0543,0,0
seg4_between_jump3_jump4,93.4,26.6,no_gnss,1304,800,212,0.0342,0.0830,0.1302,13.3117,20.3730,20.5770,0.0243,0.0418,0,0
seg4_between_jump3_jump4,93.4,26.6,weak_gnss,1304,800,212,0.0343,0.0833,0.1300,13.3118,20.3752,20.5759,0.0241,0.0419,0,11
seg5_after_jump4,120.9,17.6,no_gnss,851,529,141,0.0577,0.1636,0.2771,6.8521,9.8815,9.9151,0.0322,0.0586,0,0
seg5_after_jump4,120.9,17.6,weak_gnss,852,529,141,0.0576,0.1613,0.2780,6.8497,9.8874,9.9213,0.0322,0.0587,0,0
